epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0010000000474974513,0.748071014881134,0.270024836063385,0.10336486995220184,0.6940638422966003,0.25036120414733887,0.08373109996318817
1,0.0010000000474974513,0.695604681968689,0.25119268894195557,0.08454860001802444,0.6938071250915527,0.25022679567337036,0.08360449224710464
2,0.0010000000474974513,0.6942583322525024,0.25052788853645325,0.0838855728507042,0.6938242316246033,0.2502354681491852,0.0836135596036911
3,0.0010000000474974513,0.6938329339027405,0.2503158450126648,0.08367450535297394,0.6938247084617615,0.2502393424510956,0.08361383527517319
4,0.0010000000474974513,0.6936408877372742,0.25022172927856445,0.08357897400856018,0.693827748298645,0.25024276971817017,0.0836152732372284
5,0.0010000000474974513,0.6935322284698486,0.25016775727272034,0.08352487534284592,0.693830132484436,0.25024548172950745,0.08361654728651047
6,0.0010000000474974513,0.6934641003608704,0.2501331567764282,0.08349092304706573,0.693836510181427,0.25024914741516113,0.08361969143152237
7,0.0010000000474974513,0.6934163570404053,0.250108540058136,0.08346713334321976,0.6938498616218567,0.25025561451911926,0.08362632989883423
8,0.0010000000474974513,0.6933809518814087,0.25009047985076904,0.08344946056604385,0.6938605308532715,0.250260591506958,0.0836317166686058
9,0.0010000000474974513,0.693353533744812,0.2500762343406677,0.08343576639890671,0.693884015083313,0.2502725124359131,0.08364347368478775
10,4.0000002627493814e-05,0.6933296322822571,0.25006264448165894,0.08342383801937103,0.6939244270324707,0.2502930164337158,0.08366361260414124
11,4.0000002627493814e-05,0.6933218836784363,0.25005853176116943,0.08341995626688004,0.6939720511436462,0.25031721591949463,0.08368727564811707
12,4.0000002627493814e-05,0.6933203935623169,0.2500576972961426,0.08341919630765915,0.6940275430679321,0.2503449022769928,0.08371488749980927
13,4.0000002627493814e-05,0.6933192014694214,0.2500571012496948,0.0834186002612114,0.6940862536430359,0.2503739893436432,0.08374402672052383
14,4.0000002627493814e-05,0.6933181285858154,0.25005650520324707,0.08341805636882782,0.6941484212875366,0.2504050135612488,0.08377489447593689
15,4.0000002627493814e-05,0.6933171153068542,0.25005602836608887,0.08341757208108902,0.6942189931869507,0.2504403591156006,0.08380991965532303
16,4.0000002627493814e-05,0.6933161020278931,0.2500554621219635,0.08341704308986664,0.6942932605743408,0.2504776120185852,0.08384674787521362
