lambda1_component,lambda2_cv,lambda3_perf,overall_trust_score
0.1,0.1,0.8,0.829
0.1,0.2,0.7,0.8685
0.1,0.3,0.6,0.8549
0.1,0.4,0.5,0.8394
0.1,0.5,0.4,0.8432
0.1,0.6,0.3,0.7978
0.1,0.7,0.2,0.7771
0.2,0.1,0.7,0.8404
0.2,0.2,0.6,0.8617
0.2,0.3,0.5,0.882
0.2,0.4,0.4,0.8824
0.2,0.5,0.3,0.8617
0.2,0.6,0.2,0.8338
0.2,0.7,0.1,0.797
0.3,0.1,0.6,0.8602
0.3,0.2,0.5,0.8828
0.3,0.3,0.4,0.8904
0.3,0.4,0.3,0.9006
0.3,0.5,0.2,0.8784
0.3,0.6,0.1,0.8324
0.3,0.7,0.0,0.8182
0.4,0.1,0.5,0.8761
0.4,0.2,0.4,0.8882
0.4,0.3,0.3,0.9061
0.4,0.4,0.2,0.9053
0.4,0.5,0.1,0.8893
0.4,0.6,0.0,0.8466
0.5,0.1,0.4,0.8719
0.5,0.2,0.3,0.8933
0.5,0.3,0.2,0.9048
0.5,0.4,0.1,0.8852
0.5,0.5,0.0,0.8731
0.6,0.1,0.3,0.8489
0.6,0.2,0.2,0.863
0.6,0.3,0.1,0.8881
0.6,0.4,0.0,0.8886
0.7,0.1,0.2,0.8343
0.7,0.2,0.1,0.86
0.7,0.3,0.0,0.8586
